Feature,Importance
getInstallerPackageName,0.07959473
setInTouchMode,0.07324094
flock,0.04961492
isAdminActive,0.048280284
getReceiverInfo,0.045384068
getEnabledInputMethodList,0.02363145
getVoiceMailNumber,0.02161457
statfs64,0.016112087
access,0.014743401
isSpeakerphoneOn,0.014699658
_newselect,0.014541088
setComponentEnabledSetting,0.013200577
resolveIntent,0.012093953
setStreamMute,0.01089184
NETWORK_ACCESS____,0.009696376
registerContentObserver,0.008517869
getMode,0.008388764
FS_ACCESS(CREATE__READ__WRITE),0.008327312
startScan,0.008211404
getActivePhoneType,0.0081540095
getDisplayInfo,0.008017438
sendmsg,0.0076861177
pread64,0.007624747
isScreenOn,0.00731904
getProviders,0.0069407774
setWifiEnabled,0.006930149
getDeviceId,0.006790941
getSubscriberId,0.006603016
getStreamMaxVolume,0.0065687965
fchmod,0.006516751
getFromLocation,0.00632126
relayout,0.006320128
getDeviceSvn,0.006251549
FS_PIPE_ACCESS(WRITE)___,0.006206075
addAccessibilityInteractionConnection,0.0057491064
getInstalledPackages,0.005738065
getNightMode,0.0054622386
readlink,0.00518062
getAccountsAsUser,0.005144041
getEnabledAccessibilityServiceList,0.0050678654
EXECUTE_____,0.005038756
lstat64,0.004850691
startInput,0.004762436
sendAccessibilityEvent,0.004474829
NETWORK_ACCESS()____,0.0043511237
getDisplayIds,0.004251051
queryIntentServices,0.004197586
getMobileDataEnabled,0.004157465
read,0.00412958
ugetrlimit,0.004040642
sendto,0.0039121686
notifyChange,0.0038334453
setStreamVolume,0.0037584763
getScanResults,0.0037464513
enqueueNotificationWithTag,0.0037437128
TERMINATE_THREAD,0.0035349191
getCurrentSpellCheckerSubtype,0.0034499066
isCameraSoundForced,0.0034431259
CREATE_FOLDER_____,0.0034148176
epoll_ctl,0.003390631
sched_getparam,0.0033622303
ACCESS_PERSONAL_INFO___,0.0032989185
resolveContentProvider,0.0032388598
_llseek,0.0032357613
hideSoftInput,0.003090677
removeAccessibilityInteractionConnection,0.0030736688
getIccSerialNumber,0.003039045
getWifiServiceMessenger,0.0030256994
execve,0.0030125382
FS_ACCESS(CREATE__WRITE__APPEND),0.0030059728
stat64,0.0029597308
getWifiEnabledState,0.0029545904
openSession,0.0029448238
SMS_SEND____,0.002937932
exit,0.002835178
getpgid,0.0027883858
ftruncate64,0.002780287
setRingerMode,0.0027335812
FS_PIPE_ACCESS___,0.0027145674
open,0.0026470562
mkdir,0.0026219324
cancelAllNotifications,0.0026074075
pipe,0.002603051
getSpellCheckerService,0.0025864027
ptrace,0.0025856672
getApplicationInfo,0.002574964
chdir,0.0025718682
send,0.0025610493
getCameraInfo,0.0025375818
dup2,0.0025042892
set,0.0024947678
sigaltstack,0.00249293
__arm_nr_set_tls,0.0024835502
releaseWifiLock,0.0024261377
FS_ACCESS(CREATE__WRITE)__,0.002423501
